Location_Code,Classification,Filled,Unfilled,Total_Jobs,Filled_Percentage,Unfilled_Percentage
X001,PARAPROFESSIONAL,303,8,311,97.43,2.57
X003,PARAPROFESSIONAL,60,2,62,96.77,3.23
X004,PARAPROFESSIONAL,197,2,199,98.99,1.01
X004,SPANISH SPEAKING PARA,63,0,63,100,0
X005,PARAPROFESSIONAL,110,26,136,80.88,19.12
X005,SPANISH SPEAKING PARA,21,0,21,100,0
X006,PARAPROFESSIONAL,127,4,131,96.95,3.05
X007,PARAPROFESSIONAL,63,3,66,95.45,4.55
X008,PARAPROFESSIONAL,96,10,106,90.57,9.43
X008,SPANISH SPEAKING PARA,33,0,33,100,0
X009,PARAPROFESSIONAL,115,0,115,100,0
X010,PARAPROFESSIONAL,1868,182,2050,91.12,8.88
X011,PARAPROFESSIONAL,27,1,28,96.43,3.57
X012,PARAPROFESSIONAL,440,77,517,85.11,14.89
X012,FEMALE PARA,63,0,63,100,0
X012,MALE PARA,42,0,42,100,0
X014,PARAPROFESSIONAL,105,2,107,98.13,1.87
X015,PARAPROFESSIONAL,35,4,39,89.74,10.26
X016,PARAPROFESSIONAL,101,10,111,90.99,9.01
X016,SPANISH SPEAKING PARA,1,0,1,100,0
X017,PARAPROFESSIONAL,2163,272,2435,88.83,11.17
X018,PARAPROFESSIONAL,47,8,55,85.45,14.55
X019,PARAPROFESSIONAL,48,17,65,73.85,26.15
X020,PARAPROFESSIONAL,168,7,175,96,4
X021,PARAPROFESSIONAL,168,1,169,99.41,0.59
X022,PARAPROFESSIONAL,105,0,105,100,0
X023,PARAPROFESSIONAL,105,26,131,80.15,19.85
X024,PARAPROFESSIONAL,27,8,35,77.14,22.86
X025,PARAPROFESSIONAL,189,3,192,98.44,1.56
X028,PARAPROFESSIONAL,162,19,181,89.5,10.5
X029,PARAPROFESSIONAL,101,3,104,97.12,2.88
X030,PARAPROFESSIONAL,84,0,84,100,0
X031,PARAPROFESSIONAL,107,9,116,92.24,7.76
X032,PARAPROFESSIONAL,223,7,230,96.96,3.04
X033,PARAPROFESSIONAL,126,11,137,91.97,8.03
X035,PARAPROFESSIONAL,126,1,127,99.21,0.79
X035,MALE PARA,21,0,21,100,0
X035,SPANISH SPEAKING PARA,21,0,21,100,0
X036,FEMALE PARA,56,0,56,100,0
X037,PARAPROFESSIONAL,42,1,43,97.67,2.33
X041,PARAPROFESSIONAL,70,16,86,81.4,18.6
X042,PARAPROFESSIONAL,265,0,265,100,0
X043,PARAPROFESSIONAL,161,3,164,98.17,1.83
X044,PARAPROFESSIONAL,45,3,48,93.75,6.25
X045,SPANISH SPEAKING PARA,30,0,30,100,0
X045,PARAPROFESSIONAL,26,0,26,100,0
X045,FEMALE SPANISH SPEAKING PARA,21,0,21,100,0
X046,PARAPROFESSIONAL,201,8,209,96.17,3.83
X047,PARAPROFESSIONAL,191,36,227,84.14,15.86
X048,PARAPROFESSIONAL,135,32,167,80.84,19.16
X049,PARAPROFESSIONAL,108,16,124,87.1,12.9
X051,PARAPROFESSIONAL,13,24,37,35.14,64.86
X053,PARAPROFESSIONAL,135,0,135,100,0
X054,PARAPROFESSIONAL,67,7,74,90.54,9.46
X055,PARAPROFESSIONAL,44,3,47,93.62,6.38
X056,PARAPROFESSIONAL,206,2,208,99.04,0.96
X057,PARAPROFESSIONAL,13,10,23,56.52,43.48
X058,MALE PARA,29,13,42,69.05,30.95
X059,PARAPROFESSIONAL,193,10,203,95.07,4.93
X061,PARAPROFESSIONAL,33,6,39,84.62,15.38
X062,PARAPROFESSIONAL,174,10,184,94.57,5.43
X063,PARAPROFESSIONAL,40,28,68,58.82,41.18
X065,PARAPROFESSIONAL,73,11,84,86.9,13.1
X066,PARAPROFESSIONAL,37,6,43,86.05,13.95
X068,PARAPROFESSIONAL,364,6,370,98.38,1.62
X069,PARAPROFESSIONAL,87,7,94,92.55,7.45
X070,PARAPROFESSIONAL,224,0,224,100,0
X071,PARAPROFESSIONAL,46,4,50,92,8
X072,PARAPROFESSIONAL,76,24,100,76,24
X075,PARAPROFESSIONAL,126,1,127,99.21,0.79
X076,PARAPROFESSIONAL,178,11,189,94.18,5.82
X077,PARAPROFESSIONAL,205,3,208,98.56,1.44
X078,PARAPROFESSIONAL,112,8,120,93.33,6.67
X078,FEMALE SPANISH SPEAKING PARA,16,5,21,76.19,23.81
X080,PARAPROFESSIONAL,43,0,43,100,0
X080,SPANISH SPEAKING PARA,20,1,21,95.24,4.76
X081,PARAPROFESSIONAL,68,20,88,77.27,22.73
X083,PARAPROFESSIONAL,203,1,204,99.51,0.49
X085,PARAPROFESSIONAL,275,23,298,92.28,7.72
X086,PARAPROFESSIONAL,281,5,286,98.25,1.75
X086,SPANISH SPEAKING PARA,21,0,21,100,0
X087,PARAPROFESSIONAL,115,9,124,92.74,7.26
X089,PARAPROFESSIONAL,210,0,210,100,0
X089,SPANISH SPEAKING PARA,63,0,63,100,0
X091,PARAPROFESSIONAL,248,3,251,98.8,1.2
X093,PARAPROFESSIONAL,73,19,92,79.35,20.65
X094,PARAPROFESSIONAL,177,23,200,88.5,11.5
X095,PARAPROFESSIONAL,179,27,206,86.89,13.11
X095,BENGALI SPEAKING PARA,2,6,8,25,75
X096,PARAPROFESSIONAL,175,21,196,89.29,10.71
X097,PARAPROFESSIONAL,263,7,270,97.41,2.59
X100,PARAPROFESSIONAL,150,9,159,94.34,5.66
X101,PARAPROFESSIONAL,63,0,63,100,0
X103,PARAPROFESSIONAL,351,44,395,88.86,11.14
X105,PARAPROFESSIONAL,52,2,54,96.3,3.7
X106,PARAPROFESSIONAL,19,14,33,57.58,42.42
X107,PARAPROFESSIONAL,153,7,160,95.62,4.38
X108,PARAPROFESSIONAL,247,0,247,100,0
X109,PARAPROFESSIONAL,268,2,270,99.26,0.74
X109,SPANISH SPEAKING PARA,9,12,21,42.86,57.14
X110,PARAPROFESSIONAL,21,0,21,100,0
X111,PARAPROFESSIONAL,131,5,136,96.32,3.68
X112,PARAPROFESSIONAL,46,16,62,74.19,25.81
X114,PARAPROFESSIONAL,260,5,265,98.11,1.89
X114,SPANISH SPEAKING PARA,23,8,31,74.19,25.81
X114,BENGALI SPEAKING PARA,5,14,19,26.32,73.68
X114,ARABIC SPEAKING PARA,12,0,12,100,0
X117,PARAPROFESSIONAL,63,8,71,88.73,11.27
X118,PARAPROFESSIONAL,30,10,40,75,25
X119,PARAPROFESSIONAL,211,4,215,98.14,1.86
X121,PARAPROFESSIONAL,130,2,132,98.48,1.52
X123,PARAPROFESSIONAL,21,2,23,91.3,8.7
X126,PARAPROFESSIONAL,26,23,49,53.06,46.94
X126,MALE PARA,5,0,5,100,0
X128,PARAPROFESSIONAL,46,5,51,90.2,9.8
X129,SPANISH SPEAKING PARA,23,10,33,69.7,30.3
X129,PARAPROFESSIONAL,1,9,10,10,90
X130,PARAPROFESSIONAL,40,5,45,88.89,11.11
X131,PARAPROFESSIONAL,65,9,74,87.84,12.16
X132,PARAPROFESSIONAL,126,2,128,98.44,1.56
X134,PARAPROFESSIONAL,106,23,129,82.17,17.83
X138,PARAPROFESSIONAL,3,3,6,50,50
X140,PARAPROFESSIONAL,187,2,189,98.94,1.06
X141,PARAPROFESSIONAL,93,8,101,92.08,7.92
X144,PARAPROFESSIONAL,21,0,21,100,0
X146,PARAPROFESSIONAL,63,0,63,100,0
X146,FEMALE PARA,20,1,21,95.24,4.76
X150,PARAPROFESSIONAL,67,0,67,100,0
X152,PARAPROFESSIONAL,26,10,36,72.22,27.78
X153,PARAPROFESSIONAL,155,0,155,100,0
X154,PARAPROFESSIONAL,60,17,77,77.92,22.08
X157,PARAPROFESSIONAL,63,4,67,94.03,5.97
X160,PARAPROFESSIONAL,50,12,62,80.65,19.35
X161,PARAPROFESSIONAL,154,12,166,92.77,7.23
X163,PARAPROFESSIONAL,90,8,98,91.84,8.16
X163,SPANISH SPEAKING PARA,20,0,20,100,0
X168,PARAPROFESSIONAL,977,139,1116,87.54,12.46
X175,PARAPROFESSIONAL,105,0,105,100,0
X176,PARAPROFESSIONAL,1307,180,1487,87.9,12.1
X178,PARAPROFESSIONAL,148,15,163,90.8,9.2
X179,PARAPROFESSIONAL,113,2,115,98.26,1.74
X180,PARAPROFESSIONAL,147,0,147,100,0
X181,PARAPROFESSIONAL,66,6,72,91.67,8.33
X182,PARAPROFESSIONAL,206,6,212,97.17,2.83
X186,PARAPROFESSIONAL,2384,523,2907,82.01,17.99
X186,MALE PARA,29,3,32,90.62,9.38
X188,PARAPROFESSIONAL,580,83,663,87.48,12.52
X188,BENGALI SPEAKING PARA,21,0,21,100,0
X189,PARAPROFESSIONAL,110,3,113,97.35,2.65
X190,PARAPROFESSIONAL,0,5,5,0,100
X194,PARAPROFESSIONAL,164,0,164,100,0
X194,ARABIC SPEAKING PARA,7,19,26,26.92,73.08
X195,PARAPROFESSIONAL,147,4,151,97.35,2.65
X196,SPANISH SPEAKING PARA,21,0,21,100,0
X196,PARAPROFESSIONAL,10,6,16,62.5,37.5
X199,PARAPROFESSIONAL,73,14,87,83.91,16.09
X204,PARAPROFESSIONAL,113,7,120,94.17,5.83
X205,PARAPROFESSIONAL,393,7,400,98.25,1.75
X205,FEMALE SPANISH SPEAKING PARA,42,0,42,100,0
X205,MALE PARA,21,0,21,100,0
X206,PARAPROFESSIONAL,57,5,62,91.94,8.06
X206,SPANISH SPEAKING PARA,0,1,1,0,100
X207,PARAPROFESSIONAL,43,9,52,82.69,17.31
X211,PARAPROFESSIONAL,43,27,70,61.43,38.57
X211,SPANISH SPEAKING PARA,0,21,21,0,100
X213,MALE PARA,21,0,21,100,0
X213,PARAPROFESSIONAL,21,0,21,100,0
X214,PARAPROFESSIONAL,58,5,63,92.06,7.94
X215,PARAPROFESSIONAL,63,21,84,75,25
X217,PARAPROFESSIONAL,63,0,63,100,0
X218,PARAPROFESSIONAL,152,18,170,89.41,10.59
X219,SPANISH SPEAKING PARA,42,0,42,100,0
X221,PARAPROFESSIONAL,63,0,63,100,0
X223,PARAPROFESSIONAL,73,0,73,100,0
X224,PARAPROFESSIONAL,105,0,105,100,0
X226,PARAPROFESSIONAL,165,17,182,90.66,9.34
X226,SPANISH SPEAKING PARA,7,4,11,63.64,36.36
X226,MALE PARA,2,8,10,20,80
X227,PARAPROFESSIONAL,24,8,32,75,25
X227,SPANISH SPEAKING PARA,21,0,21,100,0
X228,PARAPROFESSIONAL,4,2,6,66.67,33.33
X229,PARAPROFESSIONAL,21,0,21,100,0
X231,PARAPROFESSIONAL,60,3,63,95.24,4.76
X232,PARAPROFESSIONAL,21,0,21,100,0
X236,PARAPROFESSIONAL,13,10,23,56.52,43.48
X237,PARAPROFESSIONAL,21,0,21,100,0
X237,ARABIC SPEAKING PARA,0,10,10,0,100
X241,PARAPROFESSIONAL,105,0,105,100,0
X243,PARAPROFESSIONAL,63,4,67,94.03,5.97
X243,SPANISH SPEAKING PARA,42,0,42,100,0
X244,PARAPROFESSIONAL,21,3,24,87.5,12.5
X246,PARAPROFESSIONAL,123,0,123,100,0
X246,FEMALE PARA,21,0,21,100,0
X246,MALE PARA,18,2,20,90,10
X248,PARAPROFESSIONAL,169,68,237,71.31,28.69
X248,ARABIC SPEAKING PARA,12,9,21,57.14,42.86
X250,PARAPROFESSIONAL,4,5,9,44.44,55.56
X251,PARAPROFESSIONAL,77,5,82,93.9,6.1
X254,PARAPROFESSIONAL,126,12,138,91.3,8.7
X259,PARAPROFESSIONAL,21,0,21,100,0
X263,PARAPROFESSIONAL,42,0,42,100,0
X264,PARAPROFESSIONAL,84,0,84,100,0
X265,PARAPROFESSIONAL,42,0,42,100,0
X267,PARAPROFESSIONAL,18,2,20,90,10
X269,PARAPROFESSIONAL,0,3,3,0,100
X270,PARAPROFESSIONAL,48,17,65,73.85,26.15
X270,MALE PARA,0,7,7,0,100
X271,PARAPROFESSIONAL,131,19,150,87.33,12.67
X271,FEMALE PARA,48,3,51,94.12,5.88
X271,FEMALE SPANISH SPEAKING PARA,21,10,31,67.74,32.26
X271,SPANISH SPEAKING PARA,21,0,21,100,0
X273,PARAPROFESSIONAL,63,0,63,100,0
X274,PARAPROFESSIONAL,3,2,5,60,40
X275,SPANISH SPEAKING PARA,67,16,83,80.72,19.28
X275,PARAPROFESSIONAL,28,3,31,90.32,9.68
X275,FRENCH SPEAKING PARA,0,21,21,0,100
X277,PARAPROFESSIONAL,211,5,216,97.69,2.31
X277,MALE PARA,0,2,2,0,100
X279,PARAPROFESSIONAL,168,0,168,100,0
X280,PARAPROFESSIONAL,215,0,215,100,0
X284,MALE SPANISH SPEAKING PARA,21,0,21,100,0
X286,PARAPROFESSIONAL,2,38,40,5,95
X287,PARAPROFESSIONAL,2,2,4,50,50
X290,FEMALE PARA,21,0,21,100,0
X290,FEMALE SPANISH SPEAKING PARA,21,0,21,100,0
X290,SPANISH SPEAKING PARA,14,1,15,93.33,6.67
X291,PARAPROFESSIONAL,126,0,126,100,0
X294,PARAPROFESSIONAL,94,5,99,94.95,5.05
X296,PARAPROFESSIONAL,21,1,22,95.45,4.55
X297,FEMALE PARA,21,0,21,100,0
X298,FRENCH SPEAKING PARA,1,1,2,50,50
X300,PARAPROFESSIONAL,73,35,108,67.59,32.41
X300,MALE PARA,21,0,21,100,0
X301,PARAPROFESSIONAL,92,13,105,87.62,12.38
X302,PARAPROFESSIONAL,98,31,129,75.97,24.03
X303,PARAPROFESSIONAL,51,3,54,94.44,5.56
X306,PARAPROFESSIONAL,107,5,112,95.54,4.46
X306,FRENCH SPEAKING PARA,21,0,21,100,0
X308,SPANISH SPEAKING PARA,3,6,9,33.33,66.67
X308,PARAPROFESSIONAL,0,1,1,0,100
X310,PARAPROFESSIONAL,162,1,163,99.39,0.61
X311,PARAPROFESSIONAL,105,0,105,100,0
X314,PARAPROFESSIONAL,167,9,176,94.89,5.11
X316,PARAPROFESSIONAL,5,0,5,100,0
X327,PARAPROFESSIONAL,81,0,81,100,0
X328,PARAPROFESSIONAL,21,0,21,100,0
X329,MALE PARA,9,12,21,42.86,57.14
X329,PARAPROFESSIONAL,21,0,21,100,0
X329,SPANISH SPEAKING PARA,0,21,21,0,100
X331,PARAPROFESSIONAL,27,1,28,96.43,3.57
X333,PARAPROFESSIONAL,63,5,68,92.65,7.35
X333,SPANISH SPEAKING PARA,40,0,40,100,0
X333,MALE PARA,0,5,5,0,100
X334,SPANISH SPEAKING PARA,141,53,194,72.68,27.32
X334,PARAPROFESSIONAL,21,1,22,95.45,4.55
X334,FRENCH SPEAKING PARA,21,0,21,100,0
X337,PARAPROFESSIONAL,42,2,44,95.45,4.55
X339,PARAPROFESSIONAL,42,0,42,100,0
X340,PARAPROFESSIONAL,135,6,141,95.74,4.26
X341,PARAPROFESSIONAL,9,29,38,23.68,76.32
X342,PARAPROFESSIONAL,31,0,31,100,0
X343,PARAPROFESSIONAL,42,2,44,95.45,4.55
X352,PARAPROFESSIONAL,1131,104,1235,91.58,8.42
X355,PARAPROFESSIONAL,42,0,42,100,0
X357,PARAPROFESSIONAL,85,4,89,95.51,4.49
X359,PARAPROFESSIONAL,41,0,41,100,0
X359,FEMALE PARA,21,0,21,100,0
X360,PARAPROFESSIONAL,84,5,89,94.38,5.62
X361,PARAPROFESSIONAL,84,0,84,100,0
X363,PARAPROFESSIONAL,195,0,195,100,0
X363,MALE PARA,4,0,4,100,0
X365,MALE SPANISH SPEAKING PARA,21,0,21,100,0
X365,PARAPROFESSIONAL,0,3,3,0,100
X367,PARAPROFESSIONAL,21,1,22,95.45,4.55
X368,PARAPROFESSIONAL,42,0,42,100,0
X369,SPANISH SPEAKING PARA,63,0,63,100,0
X369,PARAPROFESSIONAL,53,0,53,100,0
X369,FEMALE SPANISH SPEAKING PARA,21,0,21,100,0
X370,PARAPROFESSIONAL,33,0,33,100,0
X371,PARAPROFESSIONAL,42,0,42,100,0
X375,PARAPROFESSIONAL,70,3,73,95.89,4.11
X376,PARAPROFESSIONAL,42,0,42,100,0
X379,PARAPROFESSIONAL,18,3,21,85.71,14.29
X386,PARAPROFESSIONAL,105,1,106,99.06,0.94
X390,FEMALE SPANISH SPEAKING PARA,21,0,21,100,0
X390,PARAPROFESSIONAL,0,1,1,0,100
X391,PARAPROFESSIONAL,38,0,38,100,0
X392,PARAPROFESSIONAL,84,0,84,100,0
X396,PARAPROFESSIONAL,94,11,105,89.52,10.48
X403,PARAPROFESSIONAL,32,0,32,100,0
X412,SPANISH SPEAKING PARA,21,0,21,100,0
X413,PARAPROFESSIONAL,33,0,33,100,0
X418,FEMALE PARA,12,3,15,80,20
X418,PARAPROFESSIONAL,0,2,2,0,100
X438,PARAPROFESSIONAL,21,0,21,100,0
X440,PARAPROFESSIONAL,42,0,42,100,0
X442,PARAPROFESSIONAL,47,0,47,100,0
X443,PARAPROFESSIONAL,84,0,84,100,0
X443,SPANISH SPEAKING PARA,22,20,42,52.38,47.62
X443,MALE PARA,3,18,21,14.29,85.71
X446,PARAPROFESSIONAL,19,0,19,100,0
X447,PARAPROFESSIONAL,93,11,104,89.42,10.58
X448,PARAPROFESSIONAL,105,8,113,92.92,7.08
X449,PARAPROFESSIONAL,84,2,86,97.67,2.33
X452,SPANISH SPEAKING PARA,21,0,21,100,0
X454,PARAPROFESSIONAL,25,8,33,75.76,24.24
X454,SPANISH SPEAKING PARA,21,0,21,100,0
X455,PARAPROFESSIONAL,245,3,248,98.79,1.21
X457,PARAPROFESSIONAL,62,8,70,88.57,11.43
X457,ARABIC SPEAKING PARA,0,10,10,0,100
X458,PARAPROFESSIONAL,18,2,20,90,10
X467,PARAPROFESSIONAL,40,2,42,95.24,4.76
X469,PARAPROFESSIONAL,1815,98,1913,94.88,5.12
X473,PARAPROFESSIONAL,65,2,67,97.01,2.99
X477,PARAPROFESSIONAL,21,0,21,100,0
X479,PARAPROFESSIONAL,73,11,84,86.9,13.1
X483,PARAPROFESSIONAL,40,4,44,90.91,9.09
X498,PARAPROFESSIONAL,30,4,34,88.24,11.76
X500,PARAPROFESSIONAL,63,0,63,100,0
X505,PARAPROFESSIONAL,105,0,105,100,0
X508,FEMALE PARA,42,0,42,100,0
X508,MALE PARA,42,0,42,100,0
X511,PARAPROFESSIONAL,34,0,34,100,0
X514,PARAPROFESSIONAL,21,1,22,95.45,4.55
X517,PARAPROFESSIONAL,21,0,21,100,0
X517,SPANISH SPEAKING PARA,0,8,8,0,100
X521,MALE PARA,38,4,42,90.48,9.52
X521,FEMALE SPANISH SPEAKING PARA,21,0,21,100,0
X521,PARAPROFESSIONAL,0,1,1,0,100
X524,PARAPROFESSIONAL,63,0,63,100,0
X525,FEMALE PARA,18,2,20,90,10
X525,MALE PARA,14,3,17,82.35,17.65
X525,PARAPROFESSIONAL,1,0,1,100,0
X529,PARAPROFESSIONAL,46,0,46,100,0
X530,PARAPROFESSIONAL,84,0,84,100,0
X531,PARAPROFESSIONAL,42,9,51,82.35,17.65
X532,PARAPROFESSIONAL,42,0,42,100,0
X536,PARAPROFESSIONAL,22,0,22,100,0
X543,PARAPROFESSIONAL,37,5,42,88.1,11.9
X544,PARAPROFESSIONAL,61,2,63,96.83,3.17
X545,PARAPROFESSIONAL,4,2,6,66.67,33.33
X546,PARAPROFESSIONAL,11,21,32,34.38,65.62
X546,MALE PARA,0,1,1,0,100
X548,PARAPROFESSIONAL,42,1,43,97.67,2.33
X549,FEMALE SPANISH SPEAKING PARA,21,0,21,100,0
X550,PARAPROFESSIONAL,8,0,8,100,0
X551,PARAPROFESSIONAL,63,0,63,100,0
X555,PARAPROFESSIONAL,141,3,144,97.92,2.08
X556,PARAPROFESSIONAL,63,0,63,100,0
X556,MALE PARA,21,0,21,100,0
X557,FEMALE SPANISH SPEAKING PARA,21,0,21,100,0
X562,PARAPROFESSIONAL,6,11,17,35.29,64.71
X565,PARAPROFESSIONAL,0,27,27,0,100
X565,SPANISH SPEAKING PARA,21,0,21,100,0
X566,PARAPROFESSIONAL,39,0,39,100,0
X567,PARAPROFESSIONAL,60,4,64,93.75,6.25
X568,SPANISH SPEAKING PARA,4,7,11,36.36,63.64
X583,PARAPROFESSIONAL,64,5,69,92.75,7.25
X584,PARAPROFESSIONAL,21,0,21,100,0
X593,PARAPROFESSIONAL,42,5,47,89.36,10.64
X595,PARAPROFESSIONAL,40,9,49,81.63,18.37
X596,PARAPROFESSIONAL,817,106,923,88.52,11.48
X600,PARAPROFESSIONAL,0,3,3,0,100
X625,PARAPROFESSIONAL,60,3,63,95.24,4.76
X642,PARAPROFESSIONAL,116,31,147,78.91,21.09
X643,PARAPROFESSIONAL,435,26,461,94.36,5.64
X684,PARAPROFESSIONAL,84,0,84,100,0
X684,ARABIC SPEAKING PARA,0,21,21,0,100
X691,PARAPROFESSIONAL,73,2,75,97.33,2.67
X721,PARAPROFESSIONAL,991,138,1129,87.78,12.22
X721,MALE PARA,23,0,23,100,0
X721,CREE SPEAKING PARA,0,10,10,0,100
X723,PARAPROFESSIONAL,955,199,1154,82.76,17.24
X754,PARAPROFESSIONAL,503,51,554,90.79,9.21
X811,PARAPROFESSIONAL,505,124,629,80.29,19.71
XP07,PARAPROFESSIONAL,30,10,40,75,25
XP09,PARAPROFESSIONAL,366,7,373,98.12,1.88
XP10,PARAPROFESSIONAL,545,54,599,90.98,9.02
XP12,PARAPROFESSIONAL,161,13,174,92.53,7.47
